Zone,Channel,Year,Month,Baht,Ton
N1,N1BK,2017,4,1000.0,12.61
N1,N1BK,2018,1,500.0,1.53
N1,N1BK,2018,8,1030.0,74.32999999999998
N1,N1BK,2018,9,993.75,14.870000000000001
N1,N1BK,2018,10,1000.0,22.25
N1,N1BK,2019,1,737.5,5.609999999999999
N1,N1BT,2018,2,500.0,4.15
N1,N1BT,2018,4,1000.0,0.83
N1,N1DG,2017,3,1000.0,3.38
N1,N1DG,2017,10,1000.0,56.22
N1,N1DG,2018,2,950.0,2.29
N1,N1DG,2018,3,950.0,3.76
N1,N1DG,2018,4,950.0,1.74
N1,N1DG,2018,5,900.0,10.950000000000001
N1,N1DG,2018,7,900.0,13.069999999999999
N1,N1DG,2018,8,900.0,74.30999999999997
N1,N1DG,2018,9,997.0833333333334,104.79
N1,N1DG,2018,10,970.0,81.15
N1,N1DG,2018,11,980.0,32.85999999999999
N1,N1DG,2018,12,999.5918367346939,114.34000000000002
N1,N1DG,2019,1,1000.0,129.52000000000004
N1,N1DG,2019,2,1000.0,136.51000000000002
N1,N1DG,2019,3,970.0,171.39999999999998
N1,N1DG,2019,4,970.0,72.35999999999999
N1,N1DG,2019,5,970.0,89.64999999999998
N1,N1DG,2019,6,970.0,9.26
N1,N1DG,2019,7,925.0,3.54
N1,N1DG,2019,8,900.0,31.340000000000007
N1,N1DG,2019,9,900.0,25.729999999999997
N1,N1DG,2019,10,900.0,35.53
N1,N1DG,2019,11,900.0,8.309999999999999
N1,N1DG,2019,12,950.0,15.01
N1,N1DG,2020,1,900.0,16.0
N1,N1DG,2020,2,870.0,1.88
N1,N1DG,2020,3,870.0,25.07
N1,N1DG,2020,5,870.0,12.44
N1,N1DK,2017,3,983.3333333333334,14.03
N1,N1DK,2017,4,1050.0,3.5300000000000002
N1,N1DK,2017,5,953.5714285714286,26.479999999999997
N1,N1DK,2017,8,960.0,9.34
N1,N1DK,2017,9,881.8181818181819,20.950000000000003
N1,N1DK,2018,2,612.5,14.099999999999998
N1,N1DK,2018,3,592.8571428571429,15.759999999999998
N1,N1DK,2018,4,753.75,29.71
N1,N1DK,2018,9,993.3333333333334,26.64
N1,N1DK,2019,1,1000.0,16.970000000000002
N1,N1DK,2019,2,993.2432432432432,71.1
N1,N1DK,2019,3,1010.0,7.9399999999999995
N1,N1DK,2019,4,977.8947368421053,42.68000000000001
N1,N1DK,2019,5,966.8181818181819,47.169999999999995
N1,N1DK,2019,6,970.0,5.22
N1,N1DK,2019,7,918.8888888888889,19.74
N1,N1DK,2019,8,900.0,4.58
N1,N1DK,2019,9,900.0,6.699999999999999
