Zone,Channel,Year,Month,Ton,Amount,Baht
1,1,2015,1,277.20000000000005,302385.69999999995,1090.8575036075033
1,1,2015,2,14495.039999999994,15618251.829999978,1077.4893915435891
1,1,2015,3,11103.923000000004,11756164.310000006,1058.7397183860155
1,1,2015,4,9933.13000000003,9114799.650000006,917.6160636174075
1,1,2015,5,19358.55999999991,15504951.80000002,800.935183195449
1,1,2015,6,20042.21999999995,16599037.200000009,828.2035223642914
1,1,2015,7,11912.990000000042,10292740.39999999,863.9930361731147
1,1,2015,8,3430.4400000000005,3550867.300000001,1035.1054966709812
1,1,2015,9,13931.70999999999,13423296.0,963.5067052070427
1,1,2015,10,13651.419999999991,12671071.000000015,928.1870310927378
1,1,2015,11,11192.35999999997,9321883.399999985,832.8791604272924
1,1,2015,12,17912.38999999997,16167537.770000003,902.5896471660136
1,1,2016,1,24426.65999999996,24673368.700000014,1010.0999768285985
1,1,2016,2,31165.700000000088,29207442.94999997,937.1662741411195
1,1,2016,3,29886.56999999999,28348913.099999983,948.5502384515852
1,1,2016,4,19786.280000000017,19552366.90000001,988.1780152711875
1,1,2016,5,22863.330000000016,17764242.800000016,776.9753049971288
1,1,2016,6,17817.45999999997,11331612.399999995,635.9836026010449
1,1,2016,7,16576.68999999996,11374847.040000005,686.1953164353097
1,1,2016,8,14746.66999999997,7571990.79,513.471230454063
1,1,2016,9,16382.540000000032,11397057.379999999,695.6831712298567
1,1,2016,10,16866.40999999996,16235644.110000003,962.6022437495615
1,1,2016,11,13538.800000000005,10444176.379999999,771.4255606109843
1,1,2016,12,25733.540000000005,22477442.79999998,873.4687415722817
1,1,2017,1,26866.630000000023,24157129.450000007,899.1499659614915
1,1,2017,2,33676.410000000025,32132034.019999985,954.1407180872296
1,1,2017,3,32151.260000000017,28175027.120000012,876.3273078566749
1,1,2017,4,27347.300000000076,22480827.939999983,822.0492677522067
1,1,2017,5,25429.740000000023,19734215.360000007,776.0289865330903
1,1,2017,6,24054.429999999997,21269026.54999997,884.2041382813883
1,1,2017,7,27774.24000000004,25189508.529999997,906.9378146800763
1,1,2017,8,31641.38999999991,29954387.87000001,946.6836908871607
1,1,2017,9,25804.009999999973,23992320.389999982,929.7903849052922
1,1,2017,10,22149.960000000014,15393507.500000011,694.9677335760426
1,1,2017,11,26298.090000000077,16370213.04,622.4867676701978
1,1,2017,12,32315.69999999995,27714537.00999997,857.6183406208132
1,1,2018,1,34796.11999999991,25168422.78000005,723.3111846953085
1,1,2018,2,35491.460000000014,27614795.770000078,778.0687458335067
1,1,2018,3,35569.609999999906,29374950.69999997,825.8440477699937
1,1,2018,4,29139.169999999987,20862305.33999997,715.9540007488196
1,1,2018,5,34070.85999999995,23722621.31,696.2730412440435
1,1,2018,6,35058.31,27228073.809999958,776.6510653251671
